RGB,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
"[10, 90, 210]",114,1.1842105263157894,0.11851851851851852,0.11851851851851852,0.6767274737423992,0.9736842105263158,blue,0.8070175438596491,blue
"[100, 60, 20]",225,1.12,0.09126984126984126,0.09126984126984126,0.7154240182128628,0.9466666666666667,brown,0.8444444444444444,brown
"[110, 100, 10]",159,1.6729559748427674,0.24812030075187969,0.24812030075187969,0.11107958575684494,0.36477987421383645,green,0.11320754716981132,brown
"[120, 80, 40]",209,1.1483253588516746,0.12916666666666668,0.12916666666666668,0.6475592747559274,0.9234449760765551,brown,0.8181818181818182,brown
"[130, 130, 130]",139,1.1798561151079137,0.11585365853658537,0.11585365853658537,0.6395331437976957,0.9424460431654677,grey,0.7841726618705036,grey
"[130, 30, 180]",151,1.099337748344371,0.10843373493975904,0.10843373493975904,0.6723621759766338,0.9006622516556292,purple,0.8211920529801324,purple
"[150, 200, 180]",167,1.9281437125748504,0.2204968944099379,0.2204968944099379,0.08360906329211897,0.3413173652694611,blue,0.059880239520958084,green
"[160, 0, 80]",134,1.4253731343283582,0.25654450261780104,0.25654450261780104,0.06629925599338661,0.21641791044776118,purple,0.12686567164179105,magenta
"[160, 180, 20]",224,1.6741071428571428,0.17333333333333334,0.17333333333333334,0.157475935828877,0.59375,green,0.13392857142857142,green
"[170, 160, 40]",159,1.5660377358490567,0.2891566265060241,0.2891566265060241,0.05625728721336961,0.24528301886792453,green,0.06918238993710692,"olive,mustard"
"[190, 220, 210]",140,1.8642857142857143,0.210727969348659,0.210727969348659,0.11284998526377837,0.4928571428571429,blue,0.14285714285714285,light.blue
"[200, 100, 70]",161,1.565217391304348,0.30158730158730157,0.2976190476190476,0.051097198507557076,0.2111801242236025,orange,0.08695652173913043,brown
"[200, 160, 180]",213,1.5492957746478873,0.18787878787878787,0.18787878787878787,0.07852998065764023,0.29577464788732394,purple,0.107981220657277,light.purple
"[200, 170, 170]",133,1.518796992481203,0.27722772277227725,0.27722772277227725,0.05443081621594995,0.20300751879699247,pink,0.06766917293233082,grey
"[220, 20, 0]",133,1.1353383458646618,0.11920529801324503,0.11920529801324503,0.696953642384106,0.9473684210526315,red,0.8270676691729323,red
"[220, 240, 150]",152,1.743421052631579,0.28679245283018867,0.28679245283018867,0.07947398513436249,0.3223684210526316,green,0.05263157894736842,"pale.green,green"
"[240, 0, 10]",108,1.1574074074074074,0.08,0.08,0.7348387096774194,0.9907407407407407,red,0.8518518518518519,red
"[250, 120, 30]",154,1.0844155844155845,0.12574850299401197,0.12574850299401197,0.7328475578962557,0.9285714285714286,orange,0.8506493506493507,orange
"[250, 240, 0]",104,1.1442307692307692,0.15126050420168066,0.15126050420168066,0.6642928357783792,0.9326923076923077,yellow,0.8173076923076923,yellow
"[30, 90, 210]",122,1.180327868852459,0.14583333333333334,0.14583333333333334,0.6712315462315462,0.9672131147540983,blue,0.8032786885245902,blue
"[50, 80, 100]",184,1.7445652173913044,0.14953271028037382,0.14953271028037382,0.17986760124610593,0.6630434782608695,blue,0.14673913043478262,blue
"[70, 100, 90]",153,1.8169934640522876,0.21942446043165467,0.21942446043165467,0.1279640547489806,0.47058823529411764,grey,0.09803921568627451,"grey,grey.green"
