ResponseId,subjCode,image,response
R_b3LtdMFDJdMIjCh,ACR_106,pt24.03_high,Swan
R_3fT9YmiNF4bKXZC,ACR_105,pt24.03_high,swan
R_en9MmlCudouz9lf,ACR_104,pt24.03_high,swan
R_27p1rDbHJTjWqLZ,ACR_107,pt24.03_high,crane
R_296T9dQwUPtygMf,ACR_109,pt24.03_high,Flamingo
R_eDp14zKnkltbTO1,ACR_108a,pt24.03_high,Swan
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.03_high,Skinny Swan
R_1AAPVURdFtzt7QR,ACR_111,pt24.03_high,bird 
R_2usPkgUicDIzl1e,ACR_112,pt24.03_high,swan
R_b1QNN1ekMX4YMDv,ACR_113,pt24.03_high,swan
R_31oMaUn7KvP14q6,ACR_114,pt24.03_high,flamingo
R_ClxqnB5NvxdnV0R,ACR_115,pt24.03_high,swan
R_2EbBt6YqNJxKt6e,ACR_116,pt24.03_high,brid
R_C7B380GVO4KfZqF,ACR_118,pt24.03_high,Swan
R_2CyA3ciJlZWk8dz,ACR_117,pt24.03_high,Swan
R_7QUwSE3UvwRMy0V,ACR_119,pt24.03_high,Flamingo Swimming
R_3nN8PaGxmzbCKm2,ACR_120,pt24.03_high,swan
R_d3S712aZ3VjSYMx,ACR_121,pt24.03_high,flamingo
R_2qxgnKk6e8mf1IP,ACR_122,pt24.03_high,swan
R_1BUTkle1Id7znPU,ACR_101,pt24.04_high,Spike
R_2pMfrw61yOmw0AZ,ACR_102,pt24.04_high,claw
R_3G8JvHCnfY4EN4l,ACR_103,pt24.04_high,Minnesota
R_b3LtdMFDJdMIjCh,ACR_106,pt24.04_high,Evil Hand
R_3fT9YmiNF4bKXZC,ACR_105,pt24.04_high,lizard
R_en9MmlCudouz9lf,ACR_104,pt24.04_high,lizard
R_27p1rDbHJTjWqLZ,ACR_107,pt24.04_high,didn't give this one a name
R_296T9dQwUPtygMf,ACR_109,pt24.04_high,cell
R_eDp14zKnkltbTO1,ACR_108a,pt24.04_high,Claws
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.04_high,Fat Claw
R_1AAPVURdFtzt7QR,ACR_111,pt24.04_high,concave shape 
R_2usPkgUicDIzl1e,ACR_112,pt24.04_high,polar bear
R_b1QNN1ekMX4YMDv,ACR_113,pt24.04_high,lizzard
R_31oMaUn7KvP14q6,ACR_114,pt24.04_high,scorpion
R_ClxqnB5NvxdnV0R,ACR_115,pt24.04_high,fingers
R_2EbBt6YqNJxKt6e,ACR_116,pt24.04_high,reverse fish
R_C7B380GVO4KfZqF,ACR_118,pt24.04_high,Rabbit
R_2CyA3ciJlZWk8dz,ACR_117,pt24.04_high,Animal legs
R_7QUwSE3UvwRMy0V,ACR_119,pt24.04_high,rigged
R_3nN8PaGxmzbCKm2,ACR_120,pt24.04_high,sinkhole
R_d3S712aZ3VjSYMx,ACR_121,pt24.04_high,half bear
R_2qxgnKk6e8mf1IP,ACR_122,pt24.04_high,plane
R_1BUTkle1Id7znPU,ACR_101,pt24.05_high,Nose
R_2pMfrw61yOmw0AZ,ACR_102,pt24.05_high,heart
R_3G8JvHCnfY4EN4l,ACR_103,pt24.05_high,"""y"""
R_b3LtdMFDJdMIjCh,ACR_106,pt24.05_high,Heart
R_3fT9YmiNF4bKXZC,ACR_105,pt24.05_high,leaf
R_en9MmlCudouz9lf,ACR_104,pt24.05_high,heart
R_27p1rDbHJTjWqLZ,ACR_107,pt24.05_high,tree branch
R_296T9dQwUPtygMf,ACR_109,pt24.05_high,heart
R_eDp14zKnkltbTO1,ACR_108a,pt24.05_high,Rabbit
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.05_high,Claw
R_1AAPVURdFtzt7QR,ACR_111,pt24.05_high,flower
R_2usPkgUicDIzl1e,ACR_112,pt24.05_high,tree branch
R_b1QNN1ekMX4YMDv,ACR_113,pt24.05_high,crinkle fish
R_31oMaUn7KvP14q6,ACR_114,pt24.05_high,mermaid
R_ClxqnB5NvxdnV0R,ACR_115,pt24.05_high,y
R_2EbBt6YqNJxKt6e,ACR_116,pt24.05_high,Gaster guy
R_C7B380GVO4KfZqF,ACR_118,pt24.05_high,Claw
R_2CyA3ciJlZWk8dz,ACR_117,pt24.05_high,Branch 
R_7QUwSE3UvwRMy0V,ACR_119,pt24.05_high,rabbit
R_3nN8PaGxmzbCKm2,ACR_120,pt24.05_high,worm
R_d3S712aZ3VjSYMx,ACR_121,pt24.05_high,y
R_2qxgnKk6e8mf1IP,ACR_122,pt24.05_high,fin
R_1BUTkle1Id7znPU,ACR_101,pt24.06_high,Dog
R_2pMfrw61yOmw0AZ,ACR_102,pt24.06_high,W
R_3G8JvHCnfY4EN4l,ACR_103,pt24.06_high,Swan
R_b3LtdMFDJdMIjCh,ACR_106,pt24.06_high,Duck
R_3fT9YmiNF4bKXZC,ACR_105,pt24.06_high,bird
R_en9MmlCudouz9lf,ACR_104,pt24.06_high,duck
R_27p1rDbHJTjWqLZ,ACR_107,pt24.06_high,no name
R_296T9dQwUPtygMf,ACR_109,pt24.06_high,Fat flamingo
R_eDp14zKnkltbTO1,ACR_108a,pt24.06_high,Camel
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.06_high,Fat Swan
R_1AAPVURdFtzt7QR,ACR_111,pt24.06_high,bird 
R_2usPkgUicDIzl1e,ACR_112,pt24.06_high,crow
R_b1QNN1ekMX4YMDv,ACR_113,pt24.06_high,dragon
R_31oMaUn7KvP14q6,ACR_114,pt24.06_high,snake
R_ClxqnB5NvxdnV0R,ACR_115,pt24.06_high,duck
R_2EbBt6YqNJxKt6e,ACR_116,pt24.06_high,duck
R_C7B380GVO4KfZqF,ACR_118,pt24.06_high,Duck
R_2CyA3ciJlZWk8dz,ACR_117,pt24.06_high,Water bird
R_7QUwSE3UvwRMy0V,ACR_119,pt24.06_high,Letter W
R_3nN8PaGxmzbCKm2,ACR_120,pt24.06_high,swan
R_d3S712aZ3VjSYMx,ACR_121,pt24.06_high,horse
R_2qxgnKk6e8mf1IP,ACR_122,pt24.06_high,camel
R_1BUTkle1Id7znPU,ACR_101,pt24.07_high,Bird
R_2pMfrw61yOmw0AZ,ACR_102,pt24.07_high,fish
R_3G8JvHCnfY4EN4l,ACR_103,pt24.07_high,Frog
R_b3LtdMFDJdMIjCh,ACR_106,pt24.07_high,Duck
R_3fT9YmiNF4bKXZC,ACR_105,pt24.07_high,fish
R_en9MmlCudouz9lf,ACR_104,pt24.07_high,bird
R_27p1rDbHJTjWqLZ,ACR_107,pt24.07_high,blob
R_296T9dQwUPtygMf,ACR_109,pt24.07_high,Duck
R_eDp14zKnkltbTO1,ACR_108a,pt24.07_high,Iron head
R_2EAEzHaT3Jpc9lb,ACR_110,pt24.07_high,Fat Frog
R_1AAPVURdFtzt7QR,ACR_111,pt24.07_high,frog
R_2usPkgUicDIzl1e,ACR_112,pt24.07_high,frog
R_b1QNN1ekMX4YMDv,ACR_113,pt24.07_high,fat frog
R_31oMaUn7KvP14q6,ACR_114,pt24.07_high,duck
R_ClxqnB5NvxdnV0R,ACR_115,pt24.07_high,frog
